CustomerID,Gender,Age,AnnualIncome,TotalPurchases,TotalSpent,AverageOrderValue,PurchaseFrequency,WebsiteVisits,CartAdditions,CustomerSatisfaction
1001,Non-binary,22,43040,9,1335.75,148.42,6.0,46,19,4.1
1002,Female,39,76850,15,1336.87,89.12,9.8,51,11,3.6
1003,Male,35,76770,10,1963.83,196.38,3.9,35,4,4.2
1004,Female,56,65265,14,1956.12,139.72,8.3,57,11,4.0
1005,Male,58,73248,16,2252.78,140.8,7.8,53,18,2.8
1006,Non-binary,31,56711,15,2577.12,171.81,5.2,56,5,3.6
1007,Male,45,82069,15,1526.23,101.75,6.1,56,13,2.9
1008,Female,19,45933,11,1553.62,141.24,4.3,44,15,3.6
1009,Non-binary,38,52113,16,1554.6,97.16,7.6,54,17,4.3
1010,Male,25,57840,15,900.15,60.01,4.2,30,10,3.2
1011,Female,39,99181,17,1351.88,79.52,7.6,37,7,4.4
1012,Female,51,78426,15,900.75,60.05,7.3,42,12,3.8
1013,Male,24,62255,8,986.88,123.36,6.8,57,17,4.8
1014,Male,26,52645,20,1253.72,62.69,10.9,53,5,3.1
1015,Non-binary,40,88115,14,1830.47,130.75,4.5,17,6,3.2
1016,Male,44,53309,19,1437.26,75.65,5.4,38,9,5.0
1017,Non-binary,63,91585,20,1566.51,78.33,7.9,75,15,4.4
1018,Female,64,90357,12,1361.41,113.45,4.3,47,9,2.9
1019,Non-binary,64,72142,19,3127.93,164.63,9.5,48,19,4.1
1020,Non-binary,53,72397,21,3732.44,177.74,13.8,59,13,4.8
1021,Non-binary,52,101729,12,1200.06,100.01,5.7,43,13,4.8
1022,Female,31,83454,9,746.62,82.96,1.6,26,5,4.4
1023,Non-binary,22,68735,13,1990.36,153.1,7.4,64,16,3.3
1024,Female,41,73819,15,1776.58,118.44,7.6,79,32,3.2
1025,Non-binary,53,32877,17,2733.98,160.82,6.5,39,1,3.7
1026,Male,54,55293,13,1448.43,111.42,2.3,20,18,2.9
1027,Non-binary,65,112085,9,909.06,101.01,5.0,64,11,3.6
1028,Non-binary,61,78434,11,690.29,62.75,4.7,40,12,3.4
1029,Male,38,92305,13,1521.26,117.02,6.2,37,11,3.7
1030,Female,28,105760,13,945.47,72.73,8.8,54,17,2.6
1031,Non-binary,58,78906,17,1766.26,103.9,7.9,46,13,4.8
1032,Male,58,62315,15,1513.01,100.87,3.3,44,22,2.7
1033,Male,42,60115,13,1329.78,102.29,9.1,59,26,4.6
1034,Male,40,109854,14,1238.97,88.5,8.8,37,14,3.7
1035,Male,63,86020,17,939.46,55.26,7.9,35,6,4.9
1036,Non-binary,39,51225,22,1512.96,68.77,9.0,55,21,4.2
1037,Male,40,75304,14,1295.53,92.54,8.0,31,17,4.1
1038,Male,52,54297,16,1981.59,123.85,8.1,53,9,3.7
1039,Female,33,77201,21,2315.24,110.25,13.3,51,8,3.9
1040,Male,47,68274,22,4475.92,203.45,10.0,29,17,3.5
1041,Female,44,99429,18,974.73,54.15,6.8,52,17,4.0
1042,Female,44,24000,19,2516.68,132.46,10.6,56,19,4.0
1043,Female,59,51087,16,1768.53,110.53,9.4,28,1,2.8
1044,Non-binary,31,51721,17,2812.69,165.45,7.9,66,18,3.2
1045,Female,39,32467,10,1455.36,145.54,8.5,34,11,3.1
1046,Female,18,64853,16,1472.16,92.01,6.4,33,4,4.1
1047,Male,30,75887,12,1866.65,155.55,5.0,57,17,3.7
1048,Male,51,114824,9,1089.79,121.09,6.7,37,11,3.8
1049,Male,64,47999,11,797.93,72.54,4.2,38,21,4.6
1050,Male,22,76345,16,1952.68,122.04,9.0,47,19,3.0
1051,Male,43,130344,14,1658.69,118.48,7.9,49,12,3.3
1052,Female,29,47563,14,1964.09,140.29,9.1,56,13,4.1
1053,Female,41,90453,17,668.94,39.35,4.8,59,21,3.3
1054,Female,50,24000,17,2255.44,132.67,4.7,39,11,3.7
1055,Female,50,76271,10,1491.17,149.12,8.3,38,4,4.7
1056,Female,49,101691,13,1559.95,120.0,6.8,66,15,3.1
1057,Non-binary,29,78856,11,1039.79,94.53,7.8,20,1,2.6
1058,Non-binary,58,73943,16,1743.22,108.95,8.1,38,14,4.3
1059,Non-binary,62,81356,14,1209.12,86.37,4.4,27,1,3.8
1060,Non-binary,65,69227,10,1430.98,143.1,4.4,34,12,3.9
1061,Male,24,66368,11,1344.35,122.21,2.0,54,22,3.6
1062,Non-binary,49,24000,19,3627.05,190.9,6.5,36,11,4.9
1063,Non-binary,23,73976,12,795.83,66.32,4.8,37,14,4.0
1064,Non-binary,33,80369,17,1549.58,91.15,6.7,53,18,4.1
1065,Male,20,80912,9,548.08,60.9,5.3,34,1,4.3
1066,Female,36,53264,15,1743.3,116.22,7.7,41,13,3.4
1067,Non-binary,51,100703,11,1938.37,176.22,10.8,50,1,3.6
1068,Female,23,63441,10,1349.31,134.93,1.5,45,24,3.9
1069,Male,55,64591,16,1939.95,121.25,6.8,69,17,5.0
1070,Female,21,82094,15,1540.44,102.7,3.4,40,5,3.6
1071,Non-binary,34,27064,12,1141.64,95.14,0.5,44,13,3.3
1072,Female,59,88059,10,1296.34,129.63,5.7,50,12,4.4
1073,Male,59,98041,10,1719.38,171.94,3.8,36,11,3.6
1074,Female,24,24000,8,280.0,35.0,1.7,26,5,4.6
1075,Female,20,43260,13,1012.88,77.91,4.2,49,11,4.3
1076,Female,25,84839,19,2032.88,106.99,6.4,28,11,3.6
1077,Non-binary,40,65691,12,697.53,58.13,3.7,58,17,4.3
1078,Female,41,41131,16,2173.63,135.85,7.2,51,14,4.3
1079,Female,57,29123,15,2402.0,160.13,4.9,21,6,4.5
1080,Male,43,80391,13,2376.87,182.84,8.7,40,15,4.2
1081,Male,23,97991,13,1809.63,139.2,6.9,26,7,3.4
1082,Non-binary,49,108363,17,2119.87,124.7,11.1,56,16,3.0
1083,Female,20,69449,15,1866.81,124.45,7.2,45,5,3.7
1084,Female,52,37992,12,565.26,47.11,5.4,56,21,4.5
1085,Female,58,47718,15,1941.19,129.41,10.0,67,17,2.9
1086,Male,25,73213,14,1275.87,91.13,7.4,43,13,4.0
1087,Non-binary,35,56450,20,700.0,35.0,5.4,45,12,3.7
1088,Non-binary,22,24000,17,1226.45,72.14,7.3,39,5,3.6
1089,Female,18,112097,13,1448.91,111.45,6.5,51,32,4.4
1090,Male,36,91255,21,3140.06,149.53,10.1,57,15,4.0
1091,Non-binary,32,24000,22,1324.24,60.19,10.3,55,10,4.4
